data,confirmados,recuperados,obitos
20-03-2020,0,0,0
21-03-2020,0,0,0
22-03-2020,0,0,0
23-03-2020,0,0,0
24-03-2020,0,0,0
25-03-2020,0,0,0
26-03-2020,0,0,0
27-03-2020,0,0,0
28-03-2020,2,0,0
29-03-2020,2,0,0
30-03-2020,2,0,0
31-03-2020,2,0,0
01-04-2020,2,0,0
02-04-2020,2,0,0
03-04-2020,2,0,0
04-04-2020,2,0,0
05-04-2020,4,0,0
06-04-2020,4,0,0
07-04-2020,4,0,0
08-04-2020,6,0,0
09-04-2020,6,0,0
10-04-2020,6,0,0
11-04-2020,7,0,0
12-04-2020,7,0,0
13-04-2020,9,0,0
14-04-2020,9,0,0
15-04-2020,10,0,0
16-04-2020,11,0,0
17-04-2020,13,11,0
18-04-2020,15,13,0
19-04-2020,18,15,0
20-04-2020,18,15,0
21-04-2020,18,15,0
22-04-2020,19,16,0
23-04-2020,19,16,0
24-04-2020,22,19,0
25-04-2020,22,20,0
26-04-2020,22,20,0
27-04-2020,22,20,0
28-04-2020,36,20,0
29-04-2020,42,20,1
30-04-2020,47,29,1
01-05-2020,50,29,1
02-05-2020,52,36,1
03-05-2020,54,38,1
04-05-2020,65,42,1
05-05-2020,65,42,1
06-05-2020,77,42,1
07-05-2020,88,51,1
08-05-2020,99,51,1
09-05-2020,109,62,1
10-05-2020,111,62,1
11-05-2020,112,62,2
12-05-2020,121,76,3
13-05-2020,128,76,3
14-05-2020,157,76,3
15-05-2020,185,88,6
16-05-2020,185,88,8
17-05-2020,185,88,8
18-05-2020,289,109,9
19-05-2020,329,147,9
20-05-2020,364,162,10
21-05-2020,364,162,10
22-05-2020,481,231,13
23-05-2020,533,262,15
24-05-2020,562,262,18
25-05-2020,562,262,18
26-05-2020,663,338,20
27-05-2020,703,394,22
28-05-2020,785,467,23
29-05-2020,840,476,23
30-05-2020,897,499,23
31-05-2020,897,499,23
01-06-2020,972,548,24
02-06-2020,1034,614,26
03-06-2020,1091,648,29
04-06-2020,1147,692,30
05-06-2020,1204,775,32
06-06-2020,1259,794,34
07-06-2020,1289,831,34
08-06-2020,1310,848,36
09-06-2020,1353,850,36
10-06-2020,1403,867,36
11-06-2020,1449,896,37
12-06-2020,1501,925,37
13-06-2020,1562,1004,40
14-06-2020,1582,1056,41
15-06-2020,1603,1097,42
16-06-2020,1652,1128,42
17-06-2020,1709,1175,45
18-06-2020,1767,1197,45
19-06-2020,1802,1234,45
20-06-2020,1850,1258,45
21-06-2020,1885,1299,45
22-06-2020,1909,1314,46
23-06-2020,1967,1383,46
