epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-23,58,CE,Abaiara,2300101,city,17,144.8411,2,1,0,0.0588,11737,True,False
26,2020-06-23,67,CE,Acarape,2300150,city,411,2753.03101,71,11,1,0.0268,14929,True,False
26,2020-06-23,68,CE,Acaraú,2300200,city,1463,2335.53104,145,30,2,0.0205,62641,True,False
26,2020-06-23,72,CE,Acopiara,2300309,city,223,410.90842,14,15,2,0.0673,54270,True,False
26,2020-06-23,51,CE,Aiuaba,2300408,city,7,40.2322,0,0,0,0.0,17399,True,False
26,2020-06-23,66,CE,Alcântaras,2300507,city,234,1997.6097,80,2,0,0.0085,11714,True,False
26,2020-06-23,25,CE,Altaneira,2300606,city,2,26.36436,0,0,0,0.0,7586,True,False
26,2020-06-23,62,CE,Alto Santo,2300705,city,74,431.58754,8,4,0,0.0541,17146,True,False
26,2020-06-23,79,CE,Amontada,2300754,city,559,1286.47703,29,14,1,0.025,43452,True,False
26,2020-06-23,55,CE,Antonina do Norte,2300804,city,11,149.5988,2,0,0,0.0,7353,True,False
26,2020-06-23,63,CE,Apuiarés,2300903,city,120,821.91781,1,9,0,0.075,14600,True,False
26,2020-06-23,100,CE,Aquiraz,2301000,city,583,726.28969,12,22,3,0.0377,80271,True,False
26,2020-06-23,80,CE,Aracati,2301109,city,684,917.54195,35,33,2,0.0482,74547,True,False
26,2020-06-23,70,CE,Aracoiaba,2301208,city,371,1401.63965,11,8,1,0.0216,26469,True,False
26,2020-06-23,63,CE,Ararendá,2301257,city,4,36.57979,0,1,0,0.25,10935,True,False
26,2020-06-23,66,CE,Araripe,2301307,city,45,208.33333,8,0,0,0.0,21600,True,False
26,2020-06-23,51,CE,Aratuba,2301406,city,81,683.7174,2,1,0,0.0123,11847,True,False
26,2020-06-23,64,CE,Arneiroz,2301505,city,29,369.89796,1,1,1,0.0345,7840,True,False
26,2020-06-23,51,CE,Assaré,2301604,city,79,337.36175,8,2,0,0.0253,23417,True,False
26,2020-06-23,52,CE,Aurora,2301703,city,22,89.23501,2,3,0,0.1364,24654,True,False
26,2020-06-23,35,CE,Baixio,2301802,city,9,143.12977,0,0,0,0.0,6288,True,False
26,2020-06-23,66,CE,Banabuiú,2301851,city,182,1000.16486,45,1,0,0.0055,18197,True,False
26,2020-06-23,64,CE,Barbalha,2301901,city,224,368.53622,18,4,0,0.0179,60781,True,False
26,2020-06-23,71,CE,Barreira,2301950,city,189,842.80936,7,13,-1,0.0688,22425,True,False
26,2020-06-23,48,CE,Barro,2302008,city,27,119.04762,0,6,1,0.2222,22680,True,False
26,2020-06-23,74,CE,Barroquinha,2302057,city,417,2776.8529,31,8,0,0.0192,15017,True,False
26,2020-06-23,70,CE,Baturité,2302107,city,338,945.45455,5,20,0,0.0592,35750,True,False
26,2020-06-23,86,CE,Beberibe,2302206,city,310,578.64969,27,19,0,0.0613,53573,True,False
26,2020-06-23,68,CE,Bela Cruz,2302305,city,750,2301.24881,38,12,3,0.016,32591,True,False
26,2020-06-23,61,CE,Boa Viagem,2302404,city,118,216.63301,2,9,0,0.0763,54470,True,False
26,2020-06-23,61,CE,Brejo Santo,2302503,city,151,305.19231,17,5,1,0.0331,49477,True,False
26,2020-06-23,70,CE,Camocim,2302602,city,1536,2412.7802,110,49,2,0.0319,63661,True,False
26,2020-06-23,61,CE,Campos Sales,2302701,city,115,419.31014,8,2,0,0.0174,27426,True,False
26,2020-06-23,82,CE,Canindé,2302800,city,1082,1405.24956,59,32,2,0.0296,76997,True,False
26,2020-06-23,71,CE,Capistrano,2302909,city,317,1787.12369,6,6,0,0.0189,17738,True,False
26,2020-06-23,70,CE,Caridade,2303006,city,167,740.67503,3,12,-1,0.0719,22547,True,False
26,2020-06-23,61,CE,Cariré,2303105,city,268,1452.732,28,5,2,0.0187,18448,True,False
26,2020-06-23,59,CE,Caririaçu,2303204,city,104,385.68515,23,3,0,0.0288,26965,True,False
26,2020-06-23,80,CE,Cariús,2303303,city,98,524.0922,18,2,0,0.0204,18699,True,False
26,2020-06-23,62,CE,Carnaubal,2303402,city,113,641.82665,13,2,1,0.0177,17606,True,False
26,2020-06-23,78,CE,Cascavel,2303501,city,925,1289.32439,10,67,0,0.0724,71743,True,False
26,2020-06-23,79,CE,Catarina,2303600,city,36,173.92985,4,1,0,0.0278,20698,True,False
26,2020-06-23,48,CE,Catunda,2303659,city,85,821.89132,13,1,0,0.0118,10342,True,False
26,2020-06-23,88,CE,Caucaia,2303709,city,3351,927.22745,78,266,8,0.0794,361400,True,False
26,2020-06-23,51,CE,Cedro,2303808,city,48,187.81547,7,4,0,0.0833,25557,True,False
26,2020-06-23,51,CE,Chaval,2303907,city,273,2088.91269,29,3,0,0.011,13069,True,False
26,2020-06-23,60,CE,Choró,2303931,city,176,1301.67887,24,4,1,0.0227,13521,True,False
26,2020-06-23,68,CE,Chorozinho,2303956,city,282,1391.63048,2,10,0,0.0355,20264,True,False
26,2020-06-23,67,CE,Coreaú,2304004,city,405,1750.51867,44,5,0,0.0123,23136,True,False
26,2020-06-23,79,CE,Crateús,2304103,city,598,796.54741,57,20,4,0.0334,75074,True,False
26,2020-06-23,75,CE,Crato,2304202,city,419,317.12874,156,9,3,0.0215,132123,True,False
26,2020-06-23,79,CE,Croatá,2304236,city,35,193.76626,11,0,0,0.0,18063,True,False
26,2020-06-23,56,CE,Cruz,2304251,city,450,1812.5428,19,9,1,0.02,24827,True,False
26,2020-06-23,60,CE,Deputado Irapuan Pinheiro,2304269,city,6,62.33766,0,1,0,0.1667,9625,True,False
26,2020-06-23,62,CE,Ererê,2304277,city,54,750.20839,4,4,0,0.0741,7198,True,False
26,2020-06-23,84,CE,Eusébio,2304285,city,1266,2361.14738,45,31,3,0.0245,53618,True,False
26,2020-06-23,82,CE,Farias Brito,2304301,city,102,524.42159,7,5,1,0.049,19450,True,False
26,2020-06-23,74,CE,Forquilha,2304350,city,93,384.01189,3,12,2,0.129,24218,True,False
26,2020-06-23,100,CE,Fortaleza,2304400,city,33755,1264.54385,901,3174,64,0.094,2669342,True,False
26,2020-06-23,96,CE,Fortim,2304459,city,67,406.5534,5,0,0,0.0,16480,True,False
26,2020-06-23,58,CE,Frecheirinha,2304509,city,110,781.69414,9,4,0,0.0364,14072,True,False
26,2020-06-23,56,CE,General Sampaio,2304608,city,88,1155.15883,7,4,0,0.0455,7618,True,False
26,2020-06-23,72,CE,Graça,2304657,city,113,784.77672,11,2,0,0.0177,14399,True,False
26,2020-06-23,70,CE,Granja,2304707,city,439,801.85578,67,20,2,0.0456,54748,True,False
26,2020-06-23,7,CE,Granjeiro,2304806,city,0,,0,0,0,0.0,4844,True,False
26,2020-06-23,67,CE,Groaíras,2304905,city,248,2240.69389,14,3,1,0.0121,11068,True,False
26,2020-06-23,68,CE,Guaiúba,2304954,city,205,786.52548,2,21,-1,0.1024,26064,True,False
26,2020-06-23,79,CE,Guaraciaba do Norte,2305001,city,170,418.2865,43,4,0,0.0235,40642,True,False
26,2020-06-23,55,CE,Guaramiranga,2305100,city,39,751.01098,2,0,0,0.0,5193,True,False
26,2020-06-23,66,CE,Hidrolândia,2305209,city,79,395.43498,2,5,1,0.0633,19978,True,False
26,2020-06-23,81,CE,Horizonte,2305233,city,889,1320.22514,51,56,4,0.063,67337,True,False
26,2020-06-23,68,CE,Ibaretama,2305266,city,19,142.29012,1,5,0,0.2632,13353,True,False
26,2020-06-23,55,CE,Ibiapina,2305308,city,170,680.08161,14,6,2,0.0353,24997,True,False
26,2020-06-23,66,CE,Ibicuitinga,2305332,city,201,1604.79042,4,6,1,0.0299,12525,True,False
26,2020-06-23,77,CE,Icapuí,2305357,city,198,993.27782,13,5,0,0.0253,19934,True,False
26,2020-06-23,83,CE,Icó,2305407,city,162,238.17225,16,3,0,0.0185,68018,True,False
26,2020-06-23,80,CE,Iguatu,2305506,city,609,594.15793,59,23,1,0.0378,102498,True,False
26,2020-06-23,97,CE,Importados/Indefinidos,,city,1824,,23,0,0,0.0,,True,False
26,2020-06-23,75,CE,Independência,2305605,city,66,252.1201,2,5,1,0.0758,26178,True,False
26,2020-06-23,82,CE,Ipaporanga,2305654,city,83,715.94928,1,0,0,0.0,11593,True,False
26,2020-06-23,63,CE,Ipaumirim,2305704,city,12,96.285,1,1,0,0.0833,12463,True,False
26,2020-06-23,58,CE,Ipu,2305803,city,152,362.21523,9,5,0,0.0329,41964,True,False
26,2020-06-23,80,CE,Ipueiras,2305902,city,182,476.86422,4,5,0,0.0275,38166,True,False
26,2020-06-23,62,CE,Iracema,2306009,city,35,244.8066,5,1,0,0.0286,14297,True,False
26,2020-06-23,59,CE,Irauçuba,2306108,city,119,492.63123,6,12,1,0.1008,24156,True,False
26,2020-06-23,77,CE,Itaiçaba,2306207,city,100,1277.62872,4,5,0,0.05,7827,True,False
26,2020-06-23,87,CE,Itaitinga,2306256,city,435,1145.33965,13,27,2,0.0621,37980,True,False
