animal_id,outcome_type
A682590,Adoption
A745909,Adoption
A741468,Adoption
A715697,Adoption
A723449,Euthanasia
A432065,Transfer
A693633,Return to Owner
A682582,Euthanasia
A667793,Died
A723703,Adoption
A702847,Adoption
A674477,Return to Owner
A729221,Return to Owner
A602103,Return to Owner
A679003,Adoption
A764152,Return to Owner
A729619,Transfer
A712455,Adoption
A726214,Transfer
A693505,Transfer
A697922,Transfer
A720067,Adoption
A755992,Transfer
A705402,Transfer
A726316,Died
A726861,Adoption
A679753,Transfer
A736642,Adoption
A627488,Transfer
A715636,Adoption
A674595,Transfer
A688576,Adoption
A750554,Transfer
A687064,Transfer
A686045,Euthanasia
A718449,Return to Owner
A744429,Adoption
A691480,Transfer
A733296,Adoption
A665721,Transfer
A679443,Transfer
A662166,Adoption
A675687,Euthanasia
A682468,Transfer
A747675,Adoption
A739376,Euthanasia
A681341,Adoption
A717909,Transfer
A727310,Euthanasia
A765351,Adoption
A715244,Adoption
A744565,Transfer
A712521,Euthanasia
A720380,Adoption
A692750,Return to Owner
A700945,Return to Owner
A672749,Euthanasia
A730516,Adoption
A704603,Adoption
A731471,Adoption
A721081,Transfer
A727763,Adoption
A755338,Adoption
A714551,Adoption
A700686,Euthanasia
A765483,Adoption
A713375,Transfer
A699546,Return to Owner
A748202,Adoption
A730068,Adoption
A746938,Transfer
A762292,Adoption
A717503,Adoption
A738100,Adoption
A715191,Return to Owner
A762106,Adoption
A749347,Adoption
A735473,Adoption
A727437,Transfer
A683765,Transfer
A751240,Adoption
A750931,Transfer
A754611,Transfer
A710516,Adoption
A681201,Adoption
A745845,Transfer
A735691,Return to Owner
A720896,Adoption
A666227,Adoption
A692509,Transfer
A704054,Return to Owner
A737584,Adoption
A683234,Transfer
A725115,Transfer
A683107,Transfer
A712389,Transfer
A702404,Return to Owner
A745714,Return to Owner
A754217,Transfer
A752168,Return to Owner
A691221,Transfer
A756777,Adoption
A710932,Return to Owner
A675289,Euthanasia
A745935,Euthanasia
A761091,Transfer
A679174,Adoption
A742196,Adoption
A707510,Adoption
A690446,Euthanasia
A695959,Transfer
A742955,Transfer
A731639,Adoption
A746089,Euthanasia
A738022,Transfer
A723112,Transfer
A678312,Transfer
A725736,Euthanasia
A744983,Transfer
A698446,Euthanasia
A745520,Adoption
A697255,Adoption
A671535,Transfer
A716101,Adoption
A679703,Adoption
A671515,Disposal
A666764,Adoption
A685998,Adoption
A696113,Adoption
A755374,Transfer
A708877,Adoption
A678848,Adoption
A641471,Return to Owner
A660641,Adoption
A694979,Transfer
A740150,Adoption
A686537,Transfer
A744986,Adoption
A715547,Adoption
A681989,Transfer
A692059,Euthanasia
A700273,Transfer
A709334,Transfer
